Status,Population,State,City
active,"13,655",IN,Zionsville
active,"12,103",LA,Abbeville
active,"5,547",SC,Abbeville
active,"16,042",WA,Aberdeen
active,"24,460",SD,Aberdeen
active,"5,627",NC,Aberdeen
active,"6,400",KS,Abilene
active,"13,993",MD,Aberdeen
active,"6,089",MS,Aberdeen
active,"116,484",TX,Abilene
active,"8,009",VA,Abingdon
active,"16,729",OK,Ada
active,"8,389",NJ,Absecon
active,"19,476",GA,Acworth
active,"6,052",OH,Ada
active,"4,739",AL,Adamsville
active,"14,964",TX,Addison
active,"5,396",GA,Adel
active,"4,428",IA,Adel
active,"36,917",IL,Addison
active,"28,553",CA,Adelanto
active,"21,391",MI,Adrian
active,"28,091",MA,Agawam
active,"22,283",CA,Agoura Hills
active,"8,339",NY,Airmont
active,"5,289",WA,Airway Heights
active,"29,434",SC,Aiken
active,"207,510",OH,Akron
active,"29,352",AL,Alabaster
active,"9,306",FL,Alachua
active,"70,580",CA,Alameda
active,"16,608",TX,Alamo
active,"7,353",TX,Alamo Heights
active,"35,757",NM,Alamogordo
active,"8,745",CO,Alamosa
active,"48,081",OR,Albany
active,"75,831",GA,Albany
active,"93,539",NY,Albany
active,"16,004",CA,Albany
active,"15,522",NC,Albemarle
active,"11,237",MN,Alexandria
active,"17,389",MN,Albert Lea
active,"6,360",MN,Albertville
active,"19,794",AL,Albertville
active,"5,548",NY,Albion
active,"9,103",MI,Albion
active,"521,999",NM,Albuquerque
active,"8,606",TN,Alcoa
active,"143,885",VA,Alexandria
active,"15,080",AL,Alexander City
active,"48,639",LA,Alexandria
active,"8,620",KY,Alexandria
active,"5,854",IN,Alexandria
active,"5,328",IA,Algona
active,"4,540",MI,Algonac
active,"4,843",NY,Alfred
active,"30,352",IL,Algonquin
active,"85,953",CA,Alhambra
active,"19,797",TX,Alice
active,"10,631",PA,Aliquippa
active,"4,816",MI,Allegan
active,"41,572",CA,Aliso Viejo
active,"81,268",TX,Allen
active,"26,014",MI,Allen Park
active,"6,599",NJ,Allendale
active,"107,250",PA,Allentown
active,"22,476",OH,Alliance
active,"14,718",WI,Allouez
active,"8,109",NE,Alliance
active,"9,223",MI,Alma
active,"5,104",AR,Alma
active,"10,465",MI,Alpena
active,"49,903",GA,Alpharetta
active,"9,885",UT,Alpine
active,"6,280",TX,Alpine
active,"18,692",IL,Alsip
active,"39,947",FL,Altamonte Springs
active,"11,523",TX,Alton
active,"29,393",IL,Alton
active,"46,144",PA,Altoona
active,"4,848",OK,Alva
active,"6,753",WI,Altoona
active,"13,854",IA,Altoona
active,"18,912",OK,Altus
active,"22,853",TX,Alvin
active,"187,236",TX,Amarillo
active,"6,196",PA,Ambler
active,"7,024",PA,Ambridge
active,"27,064",UT,American Fork
active,"16,315",CA,American Canyon
active,"16,524",GA,Americus
active,"56,510",IA,Ames
active,"4,318",LA,Amite City
active,"9,920",NY,Amityville
active,"7,262",MS,Amory
active,"11,724",OH,Amherst
active,"13,646",ID,Ammon
active,"17,533",NY,Amsterdam
active,"16,798",WA,Anacortes
active,"8,843",MT,Anaconda
active,"335,288",CA,Anaheim
active,"6,323",OK,Anadarko
active,"5,736",IA,Anamosa
active,"279,243",AK,Anchorage
active,"8,978",AL,Andalusia
active,"30,442",MN,Andover
active,"27,027",SC,Anderson
active,"10,351",KS,Andover
active,"57,282",IN,Anderson
