Status,Abbreviation,Name
active,AL,Alabama
active,AK,Alaska
active,AZ,Arizona
active,AR,Arkansas
active,CA,California
active,CO,Colorado
active,CT,Connecticut
active,DE,Delaware
active,DC,District of Columbia
active,FL,Florida
active,GA,Georgia
active,ID,Idaho
active,IN,Indiana
active,IL,Illinois
active,HI,Hawaii
active,IA,Iowa
active,KY,Kentucky
active,KS,Kansas
active,MD,Maryland
active,LA,Louisiana
active,MA,Massachusetts
active,ME,Maine
active,MI,Michigan
active,MN,Minnesota
active,MO,Missouri
active,MT,Montana
active,NE,Nebraska
active,MS,Mississippi
active,NH,New Hampshire
active,NJ,New Jersey
active,NV,Nevada
active,NY,New York
active,NC,North Carolina
active,NM,New Mexico
active,ND,North Dakota
active,OK,Oklahoma
active,OH,Ohio
active,RI,Rhode Island
active,OR,Oregon
active,PA,Pennsylvania
active,SC,South Carolina
active,TN,Tennessee
active,SD,South Dakota
active,VT,Vermont
active,TX,Texas
active,UT,Utah
active,WA,Washington
active,WV,West Virginia
active,VA,Virginia
active,WI,Wisconsin
active,WY,Wyoming
