Status,Abbreviation,Name
active,AL,Alabama
active,AK,Alaska
active,AZ,Arizona
active,AR,Arkansas
active,CA,California
active,CO,Colorado
active,CT,Connecticut
active,DE,Delaware
active,DC,District of Columbia
active,FL,Florida
active,GA,Georgia
active,HI,Hawaii
active,ID,Idaho
active,IL,Illinois
active,IN,Indiana
active,IA,Iowa
active,KS,Kansas
active,KY,Kentucky
active,LA,Louisiana
active,ME,Maine
active,MT,Montana
active,NE,Nebraska
active,NV,Nevada
active,NH,New Hampshire
active,NJ,New Jersey
active,NM,New Mexico
active,NY,New York
active,NC,North Carolina
active,ND,North Dakota
active,OH,Ohio
active,OK,Oklahoma
active,OR,Oregon
active,MD,Maryland
active,MA,Massachusetts
active,MI,Michigan
active,MN,Minnesota
active,MS,Mississippi
active,MO,Missouri
active,PA,Pennsylvania
active,RI,Rhode Island
active,SC,South Carolina
active,SD,South Dakota
active,TN,Tennessee
active,TX,Texas
active,UT,Utah
active,VT,Vermont
active,VA,Virginia
active,WA,Washington
active,WV,West Virginia
active,WI,Wisconsin
active,WY,Wyoming
